Identifiant,Code Postal,Présence,Adresse,Nom Officiel Commune / Arrondissement Municipal Majuscule,Automate 24-24,Mise à jour,Prix Gazole,Prix SP95,Prix SP98,Prix GPLc,Prix E10,Prix E85,Marque,Geo Point,Code officiel commune ou arrondissement
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,22.04.2022,1.339,1.449,1.469,,,,Leclerc,"48.29321, 6.93455",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,22.04.2022,1.429,,1.619,,1.529,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,22.04.2022,1.436,,1.609,,1.499,,Total Energies,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,31.07.2022,1.349,,1.485,,1.415,,Intermarché,"48.2781482523, 6.96070519556",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,31.07.2022,1.355,1.449,1.469,,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,31.07.2022,1.355,1.475,1.495,,,,Leclerc,"48.29321, 6.93455",88413
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,31.07.2022,1.369,1.475,1.49,0.839,1.436,,CORA,"48.2718645613, 6.96963902125",88424
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,31.07.2022,1.436,,1.609,,1.509,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,31.07.2022,1.436,,1.619,,1.509,,Total Energies,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,31.07.2022,1.439,,1.629,,1.539,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,08.11.2022,1.439,,1.629,,1.539,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,16.02.2023,1.439,,1.629,,1.539,,Eni France,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,26.05.2023,1.349,,1.495,,1.43,,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,26.05.2023,1.349,,1.495,,1.43,,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,26.05.2023,1.356,,1.495,,1.43,,Intermarché,"48.2781482523, 6.96070519556",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,26.05.2023,1.439,,1.629,,1.539,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,03.09.2023,1.429,,1.619,,1.529,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,03.09.2023,1.442,,1.619,,1.509,,Total Energies,,
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,12.12.2023,1.375,1.475,1.49,0.839,1.436,,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,12.12.2023,1.375,1.481,1.49,0.839,1.443,,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,12.12.2023,1.375,1.481,1.496,0.839,1.443,,CORA,"48.2718645613, 6.96963902125",88424
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,12.12.2023,1.389,,1.599,,1.499,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,22.03.2024,1.389,,1.599,,1.499,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,22.03.2024,1.442,,1.619,,1.522,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,22.03.2024,1.442,,1.632,,1.522,,Total Energies,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,30.06.2024,1.365,1.475,1.495,,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,30.06.2024,1.365,1.495,1.515,,,,Leclerc,"48.29321, 6.93455",88413
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,30.06.2024,1.381,1.491,1.496,0.839,1.443,,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,30.06.2024,1.381,1.491,1.496,0.839,1.453,,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,30.06.2024,1.381,1.491,1.509,0.839,1.453,,CORA,"48.2718645613, 6.96963902125",88424
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,30.06.2024,1.399,,1.609,,1.509,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,30.06.2024,1.459,,1.632,,1.522,,Total Energies,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,08.10.2024,1.409,,1.609,,1.509,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,16.01.7086,1.409,,1.609,,1.509,,Eni France,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,26.04.7086,1.365,,1.495,,1.43,,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,26.04.7086,1.365,,1.519,,1.449,,Intermarché,"48.2781482523, 6.96070519556",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,26.04.7086,1.409,,1.609,,1.509,,Eni France,,
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,04.08.7086,1.381,1.499,1.509,0.839,1.453,,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,04.08.7086,1.381,1.499,1.519,0.839,1.459,,CORA,"48.2718645613, 6.96963902125",88424
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,04.08.7086,1.429,,1.619,,1.519,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,12.11.7086,1.429,,1.619,,1.519,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,20.02.7087,1.429,,1.619,,1.519,,Eni France,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,31.05.7087,1.365,,1.529,,1.449,,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,31.05.7087,1.365,,1.529,,1.459,,Intermarché,"48.2781482523, 6.96070519556",88413
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,31.05.7087,1.384,1.499,1.519,0.839,1.459,,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,31.05.7087,1.384,1.513,1.519,0.839,1.475,,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,31.05.7087,1.384,1.513,1.531,0.839,1.475,,CORA,"48.2718645613, 6.96963902125",88424
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,31.05.7087,1.429,,1.619,,1.519,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,08.09.7087,1.429,,1.629,,1.529,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,17.12.7087,1.429,,1.629,,1.529,,Eni France,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,26.03.7088,1.379,1.515,1.539,,,,Leclerc,"48.29321, 6.93455",88413
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,26.03.7088,1.389,1.513,1.531,0.839,1.475,,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,26.03.7088,1.389,1.519,1.531,0.839,1.479,,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,26.03.7088,1.389,1.519,1.539,0.839,1.479,,CORA,"48.2718645613, 6.96963902125",88424
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,26.03.7088,1.429,,1.629,,1.529,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,26.03.7088,1.459,,1.632,,1.522,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,26.03.7088,1.459,,1.649,,1.539,,Total Energies,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,04.07.7088,1.379,,1.529,,1.459,,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,04.07.7088,1.379,,1.539,,1.469,0.699,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,04.07.7088,1.379,,1.539,,1.469,,Intermarché,"48.2781482523, 6.96070519556",88413
